id,created_at,source,original_text,clean_text,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1400277712468467713,Thu Jun 03 02:26:37 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Cebong betina ini goblok banget ya...ok klw lu asumsi ya begitu kasus korupsi bansos Jokowi harus di priksa juga dong dia yg tanda tangan keluar ya APBN untuk bansos https://t.co/X19LwGHM64,cebong betina bodoh banget ok asumsi kasus korupsi bansos jokowi periksa tanda tangan keluar apbn bansos,in,0,0,KurniawanZidha2,False,,,,
1400276840913149957,Thu Jun 03 02:23:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Semoga beneran pungli bisa diberantas dengan adanya UU Ciptaker
#omnibuslaw https://t.co/NyK5d2z9kj",semoga beneran pungli diberantas uu ciptaker,in,0,0,NoerRahmi6,False,omnibuslaw,,,
1400259089133756418,Thu Jun 03 01:12:37 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YG PUNYA TANAH INDONESIA

YG PUNYA DUIT CINO, 
YG PUNYA PROYEK CINO, 
YG BANGUN CINO, 
YG KERJA CINO, 
YG UNTUNG CINO 

YG BANGGA CEBONG😛😛",tanah indonesiayg duit cino proyek cino bangun cino kerja cino untung cino bangga cebong,in,0,0,mhmfikri,,,,"Jakarta, Indonesia",
1400235986206879744,Wed Jun 02 23:40:48 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@MikhaelKosem @fikri_arif @CNNIndonesia @mohmahfudmd @jokowi @MataNajwa @sudjiwotedjo @sahabatICW @KPK_RI @DPR_RI @Yusrilihza_Mhd @Fahrihamzah Wkwkwk, logika cebong dungu gini nih.  
Pertanyaan tes nya gak relevan cuy, jawabannya juga mana, gak jelas, gak transparan.
Coba gw tanya, lu pilih Al Qur'an apa Pancasila??",wkwkwk logika cebong dungu gini tes nya tidak relevan cuy jawabannya tidak tidak transparan coba pilih al qur an pancasila,in,2,0,Amer_onet,,,"MikhaelKosem, fikri_arif, CNNIndonesia, mohmahfudmd, jokowi, MataNajwa, sudjiwotedjo, sahabatICW, KPK_RI, DPR_RI, Yusrilihza_Mhd, Fahrihamzah",,
1400217735422832640,Wed Jun 02 22:28:17 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@ChusnulCh__ @prabowo Mo kadrun mo cebong kek, Indonesia ancur semua juga yg rugi",kadrun cebong indonesia hancur rugi,in,0,0,forpoetri,,,"ChusnulCh__, prabowo","West Java, Indonesia",
1400210045934084098,Wed Jun 02 21:57:44 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@eko_kuntadhi di era SBY Indonesia tentram Ga ada fitna ga ada narasi pepesan kosong.
Hingga Datangnya Pangeran Kodok dr solo mengendarai mobil esemka dengan Pasukan Cebongnya.
bermain sehingga Indonesia sekarang penuh Propaganda,penuh Fitnah, dan penuh Adu domba dr buzzer cebong.",era sby indonesia tentram ga fitna ga narasi pepesan kosong hingga datangnya pangeran kodok dr solo mengendarai mobil esemka pasukan cebongnya bermain indonesia penuh propaganda penuh fitnah penuh adu domba dr buzzer cebong,in,0,0,RyanIskandarJr1,,,eko_kuntadhi,"Cibinong, Indonesia",
1400204142421811201,Wed Jun 02 21:34:16 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KPK_RI @PutraWadapi Para cebong bani bipang berharap beud gubernur indonesia ditangkap...
Wkwkwk

Sakit hati Pilkada2018 blm hilang trnyata, baperannya awet 🤣🤣

#BaniBipang keren",cebong bani bipang berharap banget gubernur indonesia ditangkap wkwkwksakit hati pemilihan kepala daerah hilang trnyata baperannya awet keren,in,0,0,arulelreal,,BaniBipang,"KPK_RI, PutraWadapi",,
1400190851142144001,Wed Jun 02 20:41:27 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@nung_306 @jokowi Oo.! Itu termasuk cebong setengah mateng..
Krn rezim ini tdk mempan dgn kritik keras..
Buktinya TKA dari tahun lalu dah dikritik jg tetep gak mandek..",oo cebong mateng rezim tidak mempan kritik keras buktinya tka deh dikritik tidak mandek,in,1,0,GhoibLurah,,,"nung_306, jokowi",,
1400189783201120257,Wed Jun 02 20:37:13 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @NurmansyahAffa1: @nung_306 @jokowi Anda sudah punya DNA Cebong...sulit jadi Kadrun....biar saya aja sama kawan-kawan oposisi lainnya,dna cebong sulit kadrun biar kawan kawan oposisi,in,0,1,herna_setiawan,,,"NurmansyahAffa1, nung_306, jokowi",,
1400182515562795009,Wed Jun 02 20:08:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@gratias_15 @MUIPusat @jokowi @mohmahfudmd @Kemenag_RI @Kemdikbud_RI @addiems Kalau dalam al quran emang haram tapi music yang seperti apa dulu?
Kalau gak tau al quran bagus diam jangan urus akidah orang",dalam al quran haram music tidak al quran bagus diam urus akidah,in,0,0,laknat_cebong,,,"gratias_15, MUIPusat, jokowi, mohmahfudmd, Kemenag_RI, Kemdikbud_RI, addiems","Jakarta Pusat, DKI Jakarta",
